                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61421,                 1.0232,                 2.0261,                 1.0995,                 0.8838,                      1,                  0.995,                 0.9203,                 0.8838,                      1,                  0.995,                0.91908,                0.35866,                0.54965,                  1.815,                0.87459,                 0.0001,                 0.0001,                 0.0001
                      2,                0.54337,                0.58348,                 1.6258,                 1.0131,                0.81792,                0.81689,                0.82648,                0.58317,                0.81792,                0.81689,                0.87492,                0.66554,                 1.0396,                 1.2095,                  1.911,                 1.4422,             0.00021274,             0.00021274,             0.00021274
                      3,                0.94596,                0.79702,                 2.4208,                 1.1565,                      1,                      1,                  0.995,                0.78539,                      1,                      1,                  0.995,                0.92941,                0.63235,                0.55401,                 5.1415,                 0.9214,             0.00031756,             0.00031756,             0.00031756
                      4,                0.71278,                0.66964,                 1.4987,                0.94748,                      1,                      1,                  0.995,                0.78539,                      1,                      1,                  0.995,                0.92941,                0.63235,                0.55401,                 5.1415,                 0.9214,             0.00041446,             0.00041446,             0.00041446
                      5,                 1.3127,                0.94401,                  1.979,                 1.4763,                0.78826,                0.90909,                0.87242,                0.17774,                0.87101,                      1,                  0.995,                0.67816,                 2.5411,                 1.0111,                  6.758,                  4.525,             0.00050344,             0.00050344,             0.00050344
                      6,                 1.3426,                 1.0462,                 1.8136,                 1.5257,                0.78826,                0.90909,                0.87242,                0.17774,                0.87101,                      1,                  0.995,                0.67816,                 2.5411,                 1.0111,                  6.758,                  4.525,              0.0005845,              0.0005845,              0.0005845
                      7,                 1.4142,                 1.5205,                  4.918,                 1.5777,                  0.875,                0.63636,                0.76812,                 0.1712,                   0.75,                0.54545,                0.60181,                0.19205,                 1.9024,                 1.5661,                 41.781,                 2.2712,             0.00065764,             0.00065764,             0.00065764
                      8,                 1.3213,                 1.3888,                 4.9644,                  1.354,                  0.875,                0.63636,                0.76812,                 0.1712,                   0.75,                0.54545,                0.60181,                0.19205,                 1.9024,                 1.5661,                 41.781,                 2.2712,             0.00072286,             0.00072286,             0.00072286
                      9,                 1.3537,                 1.5517,                 5.3535,                 1.4161,                0.49767,                0.45455,                0.33907,                0.13509,                0.49767,                0.45455,                0.37893,                0.25577,                 1.9218,                 1.1202,                 4.3264,                 2.2386,             0.00078016,             0.00078016,             0.00078016
                     10,                 1.4209,                0.81851,                 3.2548,                 1.5151,                0.49767,                0.45455,                0.33907,                0.13509,                0.49767,                0.45455,                0.37893,                0.25577,                 1.9218,                 1.1202,                 4.3264,                 2.2386,             0.00082954,             0.00082954,             0.00082954
                     11,                 1.5989,                 1.0995,                 3.1628,                 1.6903,                0.49767,                0.45455,                0.33907,                0.13509,                0.49767,                0.45455,                0.37893,                0.25577,                 1.9218,                 1.1202,                 4.3264,                 2.2386,               0.000871,               0.000871,               0.000871
                     12,                 1.5015,                 1.0821,                 2.9056,                 1.5674,                0.49767,                0.45455,                0.33907,                0.13509,                0.49767,                0.45455,                0.37893,                0.25577,                 1.9218,                 1.1202,                 4.3264,                 2.2386,             0.00090454,             0.00090454,             0.00090454
                     13,                 1.5443,                 0.8718,                 3.1605,                 1.6964,                0.49767,                0.45455,                0.33907,                0.13509,                0.49767,                0.45455,                0.37893,                0.25577,                 1.9218,                 1.1202,                 4.3264,                 2.2386,             0.00093016,             0.00093016,             0.00093016
                     14,                 1.4788,                 1.4471,                 4.3425,                 1.5983,                0.16302,                      1,                0.45802,                0.13442,                0.16302,                      1,                0.77943,                0.31385,                 2.1186,                 1.8715,                 28.555,                 2.9427,             0.00094786,             0.00094786,             0.00094786
                     15,                 1.5261,                 1.3272,                 5.7912,                 1.5463,                0.16302,                      1,                0.45802,                0.13442,                0.16302,                      1,                0.77943,                0.31385,                 2.1186,                 1.8715,                 28.555,                 2.9427,             0.00095764,             0.00095764,             0.00095764
                     16,                 1.5517,                  1.491,                 4.1017,                 1.6081,                0.16302,                      1,                0.45802,                0.13442,                0.16302,                      1,                0.77943,                0.31385,                 2.1186,                 1.8715,                 28.555,                 2.9427,              0.0009595,              0.0009595,              0.0009595
                     17,                 2.2046,                 1.5716,                 4.4846,                 2.2564,                0.16302,                      1,                0.45802,                0.13442,                0.16302,                      1,                0.77943,                0.31385,                 2.1186,                 1.8715,                 28.555,                 2.9427,               0.000944,               0.000944,               0.000944
